date,hippo,course,cheval,jockey,cote,probabilite_top3,prediction,realite
2014-02-09,Mauquenchy,18,Tosca du Châtelet,C. Jouenne,45.0,0.2562931662880682,0,0
2020-02-21,Doha - Al Rayyan,12,On The Front Line,R. Thomas,0.0,0.9997086384492095,1,1
2017-12-08,Kalmar,10,Hamilton Noa,M. Waldmüller,0.0,0.9999578680818711,1,1
2019-09-16,Turin,7,Zalix Pizz,S. Ciraso,0.0,0.9999305948598365,1,1
2018-10-13,Aby,11,Primus Altero,Mme H. Ehn,0.0,0.9999913643780731,1,0
2021-10-26,Kuurne,11,Happy End,W. Bogaert,0.0,0.9424689938890096,1,0
2023-09-02,Lalla Malika,15,EID,MJ. JBILOU,0.0,0.9999989811075121,1,0
2021-09-16,Mons,11,Ainhoa Damili,Mlle ER. Weissmeier,0.0,0.9750151669588354,1,1
2014-07-06,Trévise,7,Lando Correvo,G. Lombardo Jr,0.0,0.999990382604786,1,1
2019-05-30,Le Lion-d'Angers,14,Barhein,S. Saadi,8.5,0.12369654209631138,0,0
2019-07-10,Kempton,7,Roman Spinner,S. Cherchi,0.0,0.9999076841902399,1,0
2017-07-30,Pompadour,11,Bien A Lagrimodie,T. Speicher,0.0,0.9509904750823998,1,0
2020-10-01,Nykobing F,12,Chic Summer,R. Jonassen,0.0,0.9999827600248924,1,1
2018-07-13,Casablanca,16,Bent Ghazala,A. Sanad,0.0,0.9999983038384065,1,0
2023-08-29,Romme,11,Fridas Moon Walker,E. Lindegren,0.0,0.9937319481564227,1,0
2014-04-06,Villedieu-les-Poêles,13,Voyou de la Crière,D. Bonne,0.0,0.9858635588365631,1,0
2019-03-22,Naples,13,Vasco Mede Sm,S. Barretta,0.0,0.9999821039230053,1,0
2022-10-28,Uttoxeter,11,Santos Blue,L. Williams,0.0,0.9999740108922057,1,0
2017-08-11,Clairefontaine,15,La Valentine,F. Veron,57.0,0.1262278439532909,0,0
2020-12-08,Bjerke,9,Kolbu Kæsj,AH. Stensen,0.0,0.9998408540496587,1,0
2019-09-28,Hyères,12,Eronie Montaval,Mlle L. Decottignies,0.0,0.9908119564569279,1,0
2022-08-09,Nottingham,8,Red Fort,D. O'Neill,0.0,0.999857653373183,1,0
2023-05-29,Valparaiso,10,La Voladora,B. Sancho Escalante,0.0,0.9808173123258992,1,0
2020-09-24,Foggia - Castelluccio Dei Sauri,9,Selvaggia Nera,I. Fierro,0.0,0.9999143844658184,1,0
2023-12-08,Bollnas,7,Uriel R.B.,P. Eriksson,0.0,0.9997183870528142,1,1
2019-08-01,Vaal,10,Our Biscuit,S. Brown,0.0,0.9986300702345219,1,0
2018-10-06,Aby,11,Notre Avenue,Mme H. Larsen,0.0,0.9999534882713615,1,1
2022-10-11,Paris-Vincennes,15,Horsy Royal,M. Mottier,25.0,0.04768678334012425,0,0
2021-02-18,Gulfstream Park,7,Call Curt,J. Alvarado,0.0,0.9998009446271225,1,1
2021-10-25,Strasbourg,18,First du Fossé,M. Verva,42.0,0.04008417765657676,0,0
2021-07-20,Vichy,14,Emotive,A. Orani,21.0,0.07001779835813265,0,0
2022-06-05,Châteaubriant,12,Hiroise du Parjat,J. Poutrel,19.0,0.12449122353893774,0,0
2023-09-20,Kelso,7,The Big Jetaway,T. Gillard,0.0,0.9999669468727889,1,1
2018-07-13,Villedieu-les-Poêles,18,Ego d'Occagnes,M. Yvon,0.0,0.9936423237766914,1,0
2015-05-03,Castelsarrasin,13,Utalia de Marcay,F. Clozier,8.6,0.07499601224976352,0,1
2023-10-08,Durtal,14,Kriss Love,JP. Dubois,0.0,0.9674273252501717,1,1
2022-09-02,Kilbeggan,14,Remembergenteljack,DJ. O'Keeffe,0.0,0.9999763263423249,1,0
2018-06-10,Dielsdorf,11,Attique,Mme M. Burgin,0.0,0.9999714403608739,1,0
2019-11-25,Khemisset,12,Next Time,O. Laarim,0.0,0.9999682341913595,1,0
2017-12-29,Fairview,11,Fleet of Foot,R. Khathi,0.0,0.9984085725652544,1,0
2020-11-11,Nîmes,7,Mémoire d'Afrique,T. Dumouch,0.0,0.9681253800875317,1,1
2021-03-09,Exeter,15,Zeyzoun,C. Deutsch,0.0,0.9988471578475235,1,0
2014-11-15,Sandown,8,Rawnaq,M. Walker,0.0,0.9999572669005319,1,0
2016-01-19,Mons,12,Armoise,M. Bizoux,72.0,0.10300692419300622,0,0
2018-06-16,Agen,17,Bingo d'Attaque,R. Lacroix,87.0,0.13259935445863863,0,0
2023-05-01,Baléares - Mao,11,Heura de Flo,O. Mata Segui,0.0,0.9999697770338389,1,0
2020-08-09,Curragh,9,Back To Brussels,C. Hayes,0.0,0.9998460240465142,1,0
2017-08-14,Windsor,8,Toulson,C. Bishop,0.0,0.9999040265616965,1,0
2020-12-03,Jarlsberg,11,Bright Memphis,A. Tengsareid,0.0,0.9996387491468403,1,1
2020-02-25,Mont-de-Marsan,12,Tacchi a Spillo,Mlle M. Meyer,16.0,0.1346203805275212,0,0
2021-11-24,Le Mans,18,High Fire Dairpet,B. Marie,64.0,0.03272056806717988,0,0
2015-07-19,Graignes,13,Cacimba,C. Clin,22.0,0.10250301104333392,0,0
2023-11-26,Auteuil,8,Galaxie d'Ainay,O. Jouin,5.5,0.0458363325081858,0,1
2017-06-05,Durtal,17,Dennsia Danica,M. Mottier,0.0,0.9650460298536838,1,0
2020-08-08,Vichy,10,High Impact,C. Stéfan,10.0,0.16941049302103417,0,1
2021-10-13,Turin,6,Cis Dell'Olmo,HE. Bondo,0.0,0.9998709277387718,1,0
2021-06-23,Worcester,7,Elios d'Or,B. Carver,0.0,0.9999431701069103,1,1
